age,marital.status,occupation,sex,hours.per.week,race,income
17,Never-married,Astronauta,Female,40,White,<=50K
33,Married-spouse-absent,Astronauta,Male,40,White,<=50K
27,Divorced,Médico,Female,40,White,<=50K
49,Married-civ-spouse,Professor,Male,45,White,>50K
24,Never-married,Professor,Male,35,White,<=50K
19,Never-married,Professor,Male,30,White,<=50K
24,Divorced,Professor,Female,40,White,<=50K
23,Never-married,Médico,Female,40,Black,<=50K
52,Married-civ-spouse,Astronauta,Female,40,Asian-Pac-Islander,>50K
67,Divorced,Professor,Female,60,White,<=50K
31,Never-married,Médico,Female,34,Black,<=50K
30,Married-civ-spouse,Astronauta,Male,45,White,>50K
40,Married-civ-spouse,Astronauta,Female,40,White,<=50K
22,Never-married,Astronauta,Male,20,White,<=50K
36,Never-married,Médico,Female,60,Black,>50K
32,Married-civ-spouse,Médico,Male,55,White,<=50K
46,Married-civ-spouse,Médico,Male,40,White,<=50K
42,Widowed,Professor,Female,24,White,<=50K
30,Married-civ-spouse,Médico,Male,58,White,<=50K
32,Married-civ-spouse,Astronauta,Male,45,White,>50K
28,Never-married,Professor,Female,40,White,<=50K
46,Married-civ-spouse,Professor,Male,40,White,>50K
57,Married-civ-spouse,Astronauta,Male,60,Asian-Pac-Islander,>50K
80,Married-civ-spouse,Astronauta,Male,35,White,>50K
36,Married-civ-spouse,Médico,Female,35,Asian-Pac-Islander,>50K
23,Never-married,Astronauta,Male,50,Asian-Pac-Islander,<=50K
49,Never-married,Professor,Female,40,Black,<=50K
19,Never-married,Médico,Female,40,White,<=50K
21,Never-married,Astronauta,Male,10,Black,<=50K
55,Married-civ-spouse,Astronauta,Male,40,White,>50K
41,Married-civ-spouse,Médico,Male,60,White,<=50K
46,Married-civ-spouse,Médico,Male,40,White,<=50K
23,Never-married,Médico,Male,30,White,<=50K
53,Married-civ-spouse,Médico,Male,40,Asian-Pac-Islander,<=50K
30,Never-married,Médico,Male,40,White,<=50K
24,Never-married,Professor,Male,40,White,<=50K
45,Married-civ-spouse,Astronauta,Male,40,White,>50K
26,Never-married,Professor,Female,38,Black,<=50K
18,Never-married,Médico,Male,20,White,<=50K
20,Never-married,Médico,Female,40,White,<=50K
29,Never-married,Professor,Male,45,White,<=50K
33,Married-civ-spouse,Astronauta,Male,50,White,<=50K
22,Never-married,Professor,Female,43,White,<=50K
68,Divorced,Professor,Male,20,White,<=50K
37,Married-civ-spouse,Astronauta,Male,50,White,>50K
37,Married-civ-spouse,Astronauta,Male,40,White,<=50K
42,Married-civ-spouse,Médico,Female,40,White,<=50K
35,Divorced,Professor,Male,60,White,<=50K
19,Never-married,Astronauta,Female,40,White,<=50K
29,Never-married,Astronauta,Male,40,White,<=50K
